competition,season,date,home_team,away_team,home_goals,away_goals,neutral_site,stage,round,score_basis,decided_by_penalties,winner,notes
WorldCup,2022,2022-11-27,Croatia,Canada,4,1,True,Group,Group Stage,FT90,False,Croatia,Group F
WorldCup,2022,2022-11-27,Spain,Germany,1,1,True,Group,Group Stage,FT90,False,,Group E
WorldCup,2022,2022-11-28,Cameroon,Serbia,3,3,True,Group,Group Stage,FT90,False,,Group G
WorldCup,2022,2022-11-28,South Korea,Ghana,2,3,True,Group,Group Stage,FT90,False,Ghana,Group H
WorldCup,2022,2022-11-28,Brazil,Switzerland,1,0,True,Group,Group Stage,FT90,False,Brazil,Group G
WorldCup,2022,2022-11-28,Portugal,Uruguay,2,0,True,Group,Group Stage,FT90,False,Portugal,Group H
WorldCup,2022,2022-11-29,Ecuador,Senegal,1,2,True,Group,Group Stage,FT90,False,Senegal,Group A
WorldCup,2022,2022-11-29,Netherlands,Qatar,2,0,True,Group,Group Stage,FT90,False,Netherlands,Group A
WorldCup,2022,2022-11-29,Iran,United States,0,1,True,Group,Group Stage,FT90,False,United States,Group B
WorldCup,2022,2022-11-29,Wales,England,0,3,True,Group,Group Stage,FT90,False,England,Group B
WorldCup,2022,2022-11-30,Tunisia,France,1,0,True,Group,Group Stage,FT90,False,Tunisia,Group D
WorldCup,2022,2022-11-30,Australia,Denmark,1,0,True,Group,Group Stage,FT90,False,Australia,Group D
WorldCup,2022,2022-11-30,Poland,Argentina,0,2,True,Group,Group Stage,FT90,False,Argentina,Group C
WorldCup,2022,2022-11-30,Saudi Arabia,Mexico,1,2,True,Group,Group Stage,FT90,False,Mexico,Group C
WorldCup,2022,2022-12-01,Croatia,Belgium,0,0,True,Group,Group Stage,FT90,False,,Group F
WorldCup,2022,2022-12-01,Canada,Morocco,1,2,True,Group,Group Stage,FT90,False,Morocco,Group F
WorldCup,2022,2022-12-01,Japan,Spain,2,1,True,Group,Group Stage,FT90,False,Japan,Group E
WorldCup,2022,2022-12-01,Costa Rica,Germany,2,4,True,Group,Group Stage,FT90,False,Germany,Group E
WorldCup,2022,2022-12-02,Ghana,Uruguay,0,2,True,Group,Group Stage,FT90,False,Uruguay,Group H
WorldCup,2022,2022-12-02,South Korea,Portugal,2,1,True,Group,Group Stage,FT90,False,South Korea,Group H
WorldCup,2022,2022-12-02,Serbia,Switzerland,2,3,True,Group,Group Stage,FT90,False,Switzerland,Group G
WorldCup,2022,2022-12-02,Cameroon,Brazil,1,0,True,Group,Group Stage,FT90,False,Cameroon,Group G
WorldCup,2022,2022-12-03,Netherlands,United States,3,1,True,Knockout,Round of 16,FT90,False,Netherlands,
WorldCup,2022,2022-12-03,Argentina,Australia,2,1,True,Knockout,Round of 16,FT90,False,Argentina,
WorldCup,2022,2022-12-04,France,Poland,3,1,True,Knockout,Round of 16,FT90,False,France,
WorldCup,2022,2022-12-04,England,Senegal,3,0,True,Knockout,Round of 16,FT90,False,England,
WorldCup,2022,2022-12-05,Japan,Croatia,1,1,True,Knockout,Round of 16,AET,True,Croatia,penalties: Japan 1-3 Croatia
WorldCup,2022,2022-12-05,Brazil,South Korea,4,1,True,Knockout,Round of 16,FT90,False,Brazil,
WorldCup,2022,2022-12-06,Morocco,Spain,0,0,True,Knockout,Round of 16,AET,True,Morocco,penalties: Morocco 3-0 Spain
WorldCup,2022,2022-12-06,Portugal,Switzerland,6,1,True,Knockout,Round of 16,FT90,False,Portugal,
WorldCup,2022,2022-12-09,Croatia,Brazil,1,1,True,Knockout,Quarterfinal,AET,True,Croatia,penalties: Croatia 4-2 Brazil
WorldCup,2022,2022-12-09,Netherlands,Argentina,2,2,True,Knockout,Quarterfinal,AET,True,Argentina,penalties: Netherlands 3-4 Argentina
WorldCup,2022,2022-12-10,Morocco,Portugal,1,0,True,Knockout,Quarterfinal,FT90,False,Morocco,
WorldCup,2022,2022-12-10,England,France,1,2,True,Knockout,Quarterfinal,FT90,False,France,
WorldCup,2022,2022-12-13,Argentina,Croatia,3,0,True,Knockout,Semifinal,FT90,False,Argentina,
WorldCup,2022,2022-12-14,France,Morocco,2,0,True,Knockout,Semifinal,FT90,False,France,
WorldCup,2022,2022-12-17,Croatia,Morocco,2,1,True,Knockout,Third Place Playoff,FT90,False,Croatia,
WorldCup,2022,2022-12-18,Argentina,France,3,3,True,Knockout,Final,AET,True,Argentina,penalties: Argentina 4-2 France
